#Chr	start	end	ID	SAB_C_0647	VAL_C_0070	GIP_C_0638	SAB_C_0596	GIP_C_0636	GIP_C_0618
4	73470186	73470187	cg00000103	0.634562670374798	0.490890675731585	0.385719097712041	0.504970590706222	0.540429683812667	0.505648506731242
1	91194674	91194675	cg00000165	0.67335819441944	0.668393130135322	0.619545878349392	0.503737147169474	0.578589239169135	0.550800136950873
17	54534248	54534249	cg00000221	0.876571685505602	0.872161856460948	0.892949693086106	0.864627946609872	0.9020740506047	0.859614734946907
8	42263294	42263295	cg00000236	0.85000414830958	0.87423011429118	0.797463084902749	0.840928265882915	0.829731982250578	0.84961503114966
16	28890100	28890101	cg00000292	0.715242343932296	0.731892953475003	0.723948399536873	0.675104872830555	0.614217062521563	0.616457615229154
8	41167802	41167803	cg00000321	0.676088511043452	0.531297732282959	0.577012542813827	0.595690216715571	0.604796842625003	0.598713527382087
1	230560793	230560794	cg00000363	0.267286929935329	0.303560369966454	0.423872589392092	0.281855932825418	0.271832862969815	0.167813227847209
1	28462664	28462665	cg00000540	0.672562698046463	0.664808588492094	0.589823512918082	0.58859045386017	0.636936091311092	0.694293455911262
9	101464233	101464234	cg00000579	0.790838187115524	0.833169952650852	0.797928504747559	0.857902318035147	0.833932081603292	0.763193351534613
8	133098502	133098503	cg00000596	0.297590408408853	0.311252441647219	0.318348716863656	0.288043845789394	0.296535076310705	0.228689410302342
15	23034447	23034448	cg00000622	0.0274743456972086	0.0239878975295512	0.025666662931325	0.0301771880987847	0.0224726024124208	0.0235208804281132
9	139997924	139997925	cg00000658	0.803708588887242	0.817003089886072	0.818596739207659	0.804989686033803	0.805911259874601	0.791217721911173
19	54695678	54695679	cg00000714	0.288440343271385	0.322218337682183	0.305110896278403	0.285457251699692	0.281465568419748	0.287487292856982
1	230404313	230404314	cg00000765	0.6948441754263	0.683812000171776	0.681514502031239	0.739862602981452	0.719940703731228	0.607007677666388
4	156388205	156388206	cg00000776	0.832523059227273	0.78202084383871	0.786213772044277	0.701700309854418	0.790281404008629	0.78077519569196
2	23913414	23913415	cg00000807	0.438827124968505	0.419036155882739	0.445974032167094	0.415851186072238	0.434823315663559	0.437874616215436
4	154609857	154609858	cg00000884	0.779417467660991	0.677838937606428	0.576152838722947	0.731270841548169	0.708810321504131	0.439636762369893
11	2720463	2720464	cg00000924	0.531093070373264	0.549094018504177	0.573504348233385	0.545532912833674	0.556347466030357	0.528313023780238
8	49890609	49890610	cg00000948	0.714469394456548	0.617779348270131	0.757549839573811	0.632258875369549	0.634624566744118	0.637466606827626
1	5937253	5937254	cg00000957	0.869178778322309	0.871780243617823	0.847375579402952	0.881204320999539	0.874056327639948	0.862749664201841
